,element,mass.number1,mass.number2,abundance.covariance
1,H,1,1,6.07E-09
2,H,2,1,-6.07E-09
3,H,1,2,-6.07E-09
4,H,2,2,6.08E-09
5,He,3,3,1.33E-12
6,He,4,3,-1.33E-12
7,He,3,4,-1.33E-12
8,He,4,4,1.33E-12
9,Li,6,6,0.000290083
10,Li,7,6,-0.000290083
11,Li,6,7,-0.000290083
12,Li,7,7,0.000290083
13,Be,9,9,0
14,B,10,10,1.88E-05
15,B,11,10,-1.88E-05
16,B,10,11,-1.88E-05
17,B,11,11,1.88E-05
18,C,12,12,3.33E-07
19,C,13,12,-3.33E-07
20,C,12,13,-3.33E-07
21,C,13,13,3.33E-07
22,N,14,14,6.02E-08
23,N,15,14,-6.02E-08
24,N,14,15,-6.02E-08
25,N,15,15,6.02E-08
26,O,16,16,1.20E-08
27,O,17,16,-1.04E-09
28,O,18,16,-1.11E-08
29,O,16,17,-1.04E-09
30,O,17,17,9.08E-11
31,O,18,17,9.63E-10
32,O,16,18,-1.11E-08
33,O,17,18,9.63E-10
34,O,18,18,1.02E-08
35,F,19,19,0
36,Ne,20,20,3.00E-08
37,Ne,21,20,-1.00E-08
38,Ne,22,20,-3.00E-08
39,Ne,20,21,-1.00E-08
40,Ne,21,21,3.33E-09
41,Ne,22,21,1.00E-08
42,Ne,20,22,-3.00E-08
43,Ne,21,22,1.00E-08
44,Ne,22,22,3.00E-08
45,Na,23,23,0
46,Mg,24,24,2.41E-07
47,Mg,25,24,-6.52E-08
48,Mg,26,24,-1.84E-07
49,Mg,24,25,-6.52E-08
50,Mg,25,25,1.76E-08
51,Mg,26,25,4.98E-08
52,Mg,24,26,-1.84E-07
53,Mg,25,26,4.98E-08
54,Mg,26,26,1.41E-07
55,Al,27,27,0
56,Si,28,28,1.34E-07
57,Si,29,28,5.71E-08
58,Si,30,28,1.14E-06
59,Si,28,29,5.71E-08
60,Si,29,29,2.43E-08
61,Si,30,29,4.83E-07
62,Si,28,30,1.14E-06
63,Si,29,30,4.83E-07
64,Si,30,30,9.59E-06
65,P,31,31,0
66,S,32,32,6.45E-06
67,S,33,32,-4.99E-07
68,S,34,32,-5.94E-06
69,S,36,32,-4.25E-08
70,S,32,33,-4.99E-07
71,S,33,33,3.85E-08
72,S,34,33,4.59E-07
73,S,36,33,3.29E-09
74,S,32,34,-5.94E-06
75,S,33,34,4.59E-07
76,S,34,34,5.47E-06
77,S,36,34,3.92E-08
78,S,32,36,-4.25E-08
79,S,33,36,3.29E-09
80,S,34,36,3.92E-08
81,S,36,36,2.80E-10
82,Cl,35,35,3.00E-06
83,Cl,37,35,-3.00E-06
84,Cl,35,37,-3.00E-06
85,Cl,37,37,3.00E-06
86,Ar,36,36,1.47E-08
87,Ar,38,36,4.90E-09
88,Ar,40,36,-1.75E-08
89,Ar,36,38,4.90E-09
90,Ar,38,38,1.63E-09
91,Ar,40,38,-5.83E-09
92,Ar,36,40,-1.75E-08
93,Ar,38,40,-5.83E-09
94,Ar,40,40,2.08E-08
95,K,39,39,6.45E-10
96,K,40,39,-1.47E-11
97,K,41,39,-6.45E-10
98,K,39,40,-1.47E-11
99,K,40,40,3.33E-13
100,K,41,40,1.47E-11
101,K,39,41,-6.45E-10
102,K,40,41,1.47E-11
103,K,41,41,6.45E-10
104,Ca,40,40,8.11E-07
105,Ca,42,40,-1.20E-07
106,Ca,43,40,-5.20E-08
107,Ca,44,40,-5.72E-07
108,Ca,46,40,-1.56E-08
109,Ca,48,40,-1.09E-07
110,Ca,40,42,-1.20E-07
111,Ca,42,42,1.76E-08
112,Ca,43,42,7.67E-09
113,Ca,44,42,8.43E-08
114,Ca,46,42,2.30E-09
115,Ca,48,42,1.61E-08
116,Ca,40,43,-5.20E-08
117,Ca,42,43,7.67E-09
118,Ca,43,43,3.33E-09
119,Ca,44,43,3.67E-08
120,Ca,46,43,1.00E-09
121,Ca,48,43,7.00E-09
122,Ca,40,44,-5.72E-07
123,Ca,42,44,8.43E-08
124,Ca,43,44,3.67E-08
125,Ca,44,44,4.03E-07
126,Ca,46,44,1.10E-08
127,Ca,48,44,7.70E-08
128,Ca,40,46,-1.56E-08
129,Ca,42,46,2.30E-09
130,Ca,43,46,1.00E-09
131,Ca,44,46,1.10E-08
132,Ca,46,46,3.00E-10
133,Ca,48,46,2.10E-09
134,Ca,40,48,-1.09E-07
135,Ca,42,48,1.61E-08
136,Ca,43,48,7.00E-09
137,Ca,44,48,7.70E-08
138,Ca,46,48,2.10E-09
139,Ca,48,48,1.47E-08
140,Sc,45,45,0
141,Ti,46,46,3.00E-08
142,Ti,47,46,2.00E-08
143,Ti,48,46,-3.00E-08
144,Ti,49,46,-2.00E-08
145,Ti,50,46,-2.00E-08
