element,mass.number,mass,abundance,abundance.min,abundance.max
H,1,1.007825032,0.999855,0.99972,0.99999
H,2,2.014101778,0.000145,0.00001,0.00028
He,3,3.01602932,0.000002,0,0.000004
He,4,4.002603254,0.999998,0.999996,1
Li,6,6.015122887,0.0485,0.019,0.078
Li,7,7.016003437,0.9515,0.922,0.981
Be,9,9.01218307,1,1,1
B,10,10.0129369,0.1965,0.189,0.204
B,11,11.0093054,0.8035,0.796,0.811
C,12,12,0.9894,0.9884,0.9904
C,13,13.00335484,0.0106,0.0096,0.0116
N,14,14.003074,0.996205,0.99578,0.99663
N,15,15.0001089,0.003795,0.00337,0.00422
O,16,15.99491462,0.99757,0.99738,0.99776
O,17,16.99913176,0.0003835,0.000367,0.0004
O,18,17.99915961,0.002045,0.00187,0.00222
F,19,18.99840316,1,1,1
Ne,20,19.99244018,0.9048,0.9045,0.9051
Ne,21,20.99384669,0.0027,0.0026,0.0028
Ne,22,21.99138512,0.0925,0.0922,0.0928
Na,23,22.98976928,1,1,1
Mg,24,23.9850417,0.78965,0.7888,0.7905
Mg,25,24.98583698,0.10011,0.09988,0.10034
Mg,26,25.98259297,0.11025,0.1096,0.1109
Al,27,26.98153853,1,1,1
Si,28,27.97692653,0.922545,0.92191,0.92318
Si,29,28.97649466,0.04672,0.04645,0.04699
Si,30,29.97377014,0.030735,0.03037,0.0311
P,31,30.973762,1,1,1
S,32,31.97207117,0.9485,0.9441,0.9529
S,33,32.97145891,0.00763,0.00729,0.00797
S,34,33.967867,0.04365,0.0396,0.0477
S,36,35.96708071,0.000158,0.000129,0.000187
Cl,35,34.96885268,0.758,0.755,0.761
Cl,37,36.9659026,0.242,0.239,0.245
Ar,36,35.96754511,0.003336,0.003126,0.003546
Ar,38,37.96273211,0.000629,0.000559,0.000699
Ar,40,39.96238312,0.996035,0.995785,0.996285
K,39,38.96370649,0.932581,0.932537,0.932625
K,40,39.96399817,0.000117,0.000116,0.000118
K,41,40.96182526,0.067302,0.067258,0.067346
Ca,40,39.96259086,0.96941,0.96785,0.97097
Ca,42,41.95861783,0.00647,0.00624,0.0067
Ca,43,42.95876644,0.00135,0.00125,0.00145
Ca,44,43.9554816,0.02086,0.01976,0.02196
Ca,46,45.953689,0.00004,0.00001,0.00007
Ca,48,47.95252277,0.00187,0.00166,0.00208
Sc,45,44.9559083,1,1,1
Ti,46,45.9526277,0.0825,0.0822,0.0828
Ti,47,46.9517588,0.0744,0.0742,0.0746
Ti,48,47.947942,0.7372,0.7369,0.7375
Ti,49,48.9478657,0.0541,0.0539,0.0543
Ti,50,49.9447869,0.0518,0.0516,0.052
V,50,49.947156,0.0025,0.0024,0.0026
V,51,50.943957,0.9975,0.9974,0.9976
Cr,50,49.9460418,0.04345,0.04332,0.04358
Cr,52,51.9405062,0.83789,0.83771,0.83807
Cr,53,52.9406481,0.09501,0.09484,0.09518
Cr,54,53.9388792,0.02365,0.02358,0.02372
Mn,55,54.9380439,1,1,1
Fe,54,53.939609,0.05845,0.0574,0.0595
Fe,56,55.9349363,0.91754,0.91648,0.9186
Fe,57,56.9353928,0.02119,0.0209,0.02148
Fe,58,57.9332744,0.00282,0.0027,0.00294
Co,59,58.9331943,1,1,1
Ni,58,57.9353424,0.680769,0.680579,0.680959
Ni,60,59.9307859,0.262231,0.262081,0.262381
Ni,61,60.9310556,0.011399,0.011386,0.011412
Ni,62,61.9283454,0.036345,0.036305,0.036385
Ni,64,63.9279668,0.009256,0.009237,0.009275
Cu,63,62.9295977,0.6915,0.69,0.693
Cu,65,64.9277897,0.3085,0.307,0.31
Zn,64,63.929142,0.4917,0.4842,0.4992
Zn,66,65.9260338,0.2773,0.2675,0.2871
Zn,67,66.9271277,0.0404,0.0388,0.042
Zn,68,67.9248446,0.1845,0.1782,0.1908
Zn,70,69.9253192,0.0061,0.0051,0.0071
Ga,69,68.9255735,0.60108,0.60058,0.60158
Ga,71,70.9247026,0.39892,0.39842,0.39942
Ge,70,69.9242488,0.2052,0.2033,0.2071
Ge,72,71.92207583,0.2745,0.273,0.276
Ge,73,72.92345896,0.0776,0.0768,0.0784
Ge,74,73.92117776,0.3652,0.364,0.3664
Ge,76,75.92140273,0.0775,0.0763,0.0787
As,75,74.9215946,1,1,1
Se,74,73.92247594,0.0086,0.0083,0.0089
Se,76,75.9192137,0.0923,0.0916,0.093
Se,77,76.91991415,0.076,0.0753,0.0767
Se,78,77.91730928,0.2369,0.2347,0.2391
Se,80,79.9165218,0.498,0.4944,0.5016
Se,82,81.9166995,0.0882,0.0867,0.0897
Br,79,78.9183376,0.5065,0.505,0.508
Br,81,80.9162897,0.4935,0.492,0.495
Kr,78,77.9203649,0.00355,0.00352,0.00358
Kr,80,79.9163781,0.02286,0.02276,0.02296
Kr,82,81.9134827,0.11593,0.11562,0.11624
Kr,83,82.9141272,0.115,0.11481,0.11519
Kr,84,83.91149773,0.56987,0.56972,0.57002
Kr,86,85.91061063,0.17279,0.17238,0.1732
Rb,85,84.91178974,0.7217,0.7215,0.7219
Rb,87,86.90918053,0.2783,0.2781,0.2785
Sr,84,83.9134191,0.0056,0.0054,0.0058
Sr,86,85.9092606,0.0986,0.0966,0.1006
Sr,87,86.9088775,0.07,0.068,0.072
Sr,88,87.9056125,0.8258,0.8223,0.8293
Y,89,88.9058403,1,1,1
Zr,90,89.9046977,0.5145,0.5141,0.5149
Zr,91,90.9056396,0.1122,0.1117,0.1127
Zr,92,91.9050347,0.1715,0.1712,0.1718
Zr,94,93.9063108,0.1738,0.1734,0.1742
Zr,96,95.9082714,0.028,0.0278,0.0282
Nb,93,92.906373,1,1,1
Mo,92,91.906808,0.14649,0.14543,0.14755
Mo,94,93.9050849,0.09187,0.09154,0.0922
Mo,95,94.9058388,0.15873,0.15843,0.15903
Mo,96,95.9046761,0.16673,0.16665,0.16681
Mo,97,96.9060181,0.09582,0.09567,0.09597
Mo,98,97.9054048,0.24292,0.24212,0.24372
Mo,100,99.9074718,0.09744,0.09679,0.09809
Ru,96,95.9075903,0.0554,0.054,0.0568
Ru,98,97.905287,0.0187,0.0184,0.019
Ru,99,98.9059341,0.1276,0.1262,0.129
Ru,100,99.9042143,0.126,0.1253,0.1267
Ru,101,100.9055769,0.1706,0.1704,0.1708
Ru,102,101.9043441,0.3155,0.3141,0.3169
Ru,104,103.9054275,0.1862,0.1835,0.1889
Rh,103,102.905498,1,1,1
Pd,102,101.9056022,0.0102,0.0101,0.0103
Pd,104,103.9040305,0.1114,0.1106,0.1122
Pd,105,104.9050796,0.2233,0.2225,0.2241
Pd,106,104.9050796,0.2733,0.273,0.2736
Pd,108,107.9038916,0.2646,0.2637,0.2655
Pd,110,109.9051722,0.1172,0.1163,0.1181
Ag,107,106.9050916,0.51839,0.51831,0.51847
